,GalaxyName,RA_deg,Dec_deg,Distance_pc,rh(arcmins),Nstar_rh,pmra_rh,pmdec_rh,Nbg_per_deg2,rh_deg,Nstar_per_rhdeg3
20,Horologium1,43.88208333333333,-54.11888888888889,79432.82347242821,1.31,7,5.8156918913620865,0.16153111499052988,2893.557615795778,0.021833333333333333,672570.6388220049
21,Eridanus3,35.68958333333334,-52.28361111111111,87096.35899560797,0.54,3,15.555583963072154,-1.4050981797349988,2619.834454187577,0.009000000000000001,4115226.3374485583
22,Phoenix2,354.9975,-54.40611111111111,83176.37711026709,1.09,9,9.576450816562598,-9.484236715258678,4500.973056045521,0.018166666666666668,1501124.6852387085
23,Sculptor,15.039166666666667,-33.70916666666667,85901.3521505396,11.3,4648,0.3519835958567283,-0.4163365002099737,8995.139739255932,0.18833333333333335,695800.1853216132
24,Sextans(I),153.2625,-1.6147222222222224,85901.3521505396,27.8,3077,-4.359220826713624,-3.0590715876340018,3119.1765825359503,0.4633333333333333,30934.767738834144
25,ReticulumIII,56.36,-60.45,91622.04901219992,2.4,12,4.2896281714901745,3.9528506060312134,2188.3804675135607,0.04,187499.99999999997
26,Indus1,317.2045833333333,-51.16555555555556,100000.0,1.26,8,-0.35421662489837313,-3.07975625121229,5774.329001066497,0.021,863837.5985314759
27,UrsaMajor(I),158.72,51.919999999999995,96827.78562612487,11.3,172,-3.6906203609701564,-7.939731667647912,1250.4051915560292,0.18833333333333335,25748.199628940936
28,Grus1,344.1766666666667,-50.163333333333334,120226.4434617413,1.77,12,11.791456781061054,-5.669603792742468,3291.91493898778,0.029500000000000002,467428.51021769503
29,Pictoris1,70.9475,-50.283055555555556,114815.3621496884,0.88,3,1.4246357592286838,1.6801687403793704,3945.990324592447,0.014666666666666666,950882.7948910594
30,Carina,100.40291666666667,-50.96611111111111,105196.18738232234,8.2,1307,0.3985851916265822,1.6943397779091636,12116.98371023246,0.13666666666666666,512021.00956167217
31,Hercules,247.7583333333333,12.791666666666666,131825.67385564075,8.6,696,-3.8084546516272417,-4.830601952072724,9260.080463940563,0.14333333333333334,236356.54722225713
32,HydraII,185.42541666666665,-31.985277777777778,134276.49611378642,1.7,32,-6.94387749167858,0.2035044936384754,8591.06267208847,0.028333333333333332,1406879.7069000613
